Element,AtomicNumber,Isotope,Volume,Density,Energy,Family,ResonanceTier,FunctionName,FunctionPolarity,FunctionDescription
Hydrogen,1,1,14.1,0.0899,13.6,Nonmetal,Core,#,#,#
Helium,2,4,22.4,0.1786,24.6,Noble Gas,Core,#,#,#
Lithium,3,7,13.1,0.534,5.39,Alkali Metal,Core,#,#,#
Beryllium,4,9,5.0,1.85,9.32,Alkaline Earth Metal,Core,#,#,#
Boron,5,11,4.6,2.34,8.3,Metalloid,Core,#,#,#
Carbon,6,12,5.3,2.267,11.26,Nonmetal,Core,#,#,#
Nitrogen,7,14,17.3,1.251,14.53,Nonmetal,Core,#,#,#
Oxygen,8,16,16.4,1.429,13.6,Nonmetal,Core,#,#,#
Fluorine,9,19,17.1,1.696,17.42,Halogen,Core,#,#,#
Neon,10,20,22.4,0.9,21.56,Noble Gas,Core,#,#,#
Sodium,11,23,23.7,0.968,5.14,Alkali Metal,Core,#,#,#
Magnesium,12,24,13.9,1.738,7.64,Alkaline Earth Metal,Core,#,#,#
Aluminum,13,27,10.0,2.7,5.99,Post-transition Metal,Core,#,#,#
Silicon,14,28,12.1,2.33,8.15,Metalloid,Core,#,#,#
Phosphorus,15,31,17.0,1.823,10.49,Nonmetal,Core,#,#,#
Sulfur,16,32,15.5,1.96,10.36,Nonmetal,Core,#,#,#
Chlorine,17,35,17.4,3.214,12.97,Halogen,Core,#,#,#
Argon,18,40,22.4,1.784,15.76,Noble Gas,Core,#,#,#
Potassium,19,39,45.0,0.856,4.34,Alkali Metal,Core,#,#,#
Calcium,20,40,29.9,1.55,6.11,Alkaline Earth Metal,Core,#,#,#
Scandium,21,45,15.0,2.985,6.56,Transition Metal,Core,#,#,#
Titanium,22,48,10.6,4.507,6.82,Transition Metal,Core,#,#,#
Vanadium,23,51,8.4,6.11,6.74,Transition Metal,Core,#,#,#
Chromium,24,52,7.2,7.19,6.77,Transition Metal,Core,#,#,#
Manganese,25,55,7.4,7.47,7.43,Transition Metal,Core,#,#,#
Iron,26,56,7.1,7.875,7.87,Transition Metal,Core,#,#,#
Cobalt,27,59,6.7,8.9,7.86,Transition Metal,Core,#,#,#
Nickel,28,58,6.6,8.908,7.64,Transition Metal,Core,#,#,#
Copper,29,63,7.1,8.96,7.72,Transition Metal,Core,#,#,#
Zinc,30,64,9.2,7.14,9.39,Transition Metal,Core,#,#,#
Element,AtomicNumber,Isotope,Volume,Density,Energy,Family,ResonanceTier,FunctionName,FunctionPolarity,FunctionDescription
Gallium,31,69,11.8,5.91,5.999,Post-transition Metal,Core,#,#,#
Germanium,32,74,13.6,5.323,7.899,Metalloid,Core,#,#,#
Arsenic,33,75,13.1,5.727,9.815,Metalloid,Core,#,#,#
Selenium,34,79,16.5,4.809,9.752,Nonmetal,Core,#,#,#
